timestamp,current
10722.97,0
10722.98,13305.646
10722.99,13444.619
10723,13351.961
10723.01,13259.342
10723.02,13537.316
10723.03,13259.342
10723.04,13444.619
10723.05,13351.961
10723.06,13259.342
10723.07,13259.342
10723.08,13305.646
10723.09,13351.961
10723.1,13305.646
10723.11,13398.285
10723.12,13305.646
10723.13,13583.68
10723.14,13444.619
10723.15,13444.619
10723.16,13398.285
10723.17,13398.285
10723.18,13490.963
10723.19,13398.285
10723.2,13351.961
10723.21,13351.961
10723.22,13444.619
10723.23,13444.619
10723.24,13583.68
10723.25,13398.285
10723.26,13351.961
10723.27,13398.285
10723.28,13398.285
10723.29,13398.285
10723.3,13490.963
10723.31,13351.961
10723.32,13398.285
10723.33,13259.342
10723.34,13583.68
10723.35,13490.963
10723.36,13630.053
10723.37,13444.619
10723.38,13630.053
10723.39,13351.961
10723.4,13259.342
10723.41,13305.646
10723.42,13351.961
10723.43,13351.961
10723.44,13398.285
10723.45,13166.762
10723.46,13351.961
10723.47,13305.646
10723.48,13305.646
10723.49,13305.646
10723.5,13490.963
10723.51,13444.619
10723.52,13351.961
10723.53,13166.762
10723.54,13259.342
10723.55,13351.961
10723.56,13351.961
10723.57,13537.316
10723.58,13444.619
10723.59,13351.961
10723.6,13351.961
10723.61,13398.285
10723.62,13444.619
10723.63,13351.961
10723.64,13305.646
10723.65,13351.961
10723.66,13351.961
10723.67,13490.963
10723.68,13351.961
10723.69,13444.619
10723.7,13351.961
10723.71,13398.285
10723.72,13351.961
10723.73,13213.047
10723.74,13583.68
10723.75,13305.646
10723.76,13398.285
10723.77,13166.762
10723.78,13351.961
10723.79,13305.646
10723.8,13305.646
10723.81,13351.961
10723.82,13490.963
10723.83,13351.961
10723.84,13398.285
10723.85,13351.961
10723.86,13537.316
10723.87,13444.619
10723.88,13444.619
10723.89,13444.619
10723.9,13490.963
10723.91,13444.619
10723.92,13490.963
10723.93,13490.963
10723.94,13398.285
10723.95,13398.285
10723.96,13444.619
10723.97,13444.619
10723.98,13444.619
10723.99,13444.619
10724,13398.285
10724.01,13444.619
10724.02,13490.963
10724.03,13490.963
10724.04,13444.619
10724.05,13351.961
10724.06,13259.342
10724.07,13398.285
10724.08,13490.963
10724.09,13305.646
10724.1,13398.285
10724.11,13351.961
10724.12,13444.619
10724.13,13398.285
10724.14,13351.961
10724.15,13583.68
10724.16,13351.961
10724.17,13537.316
10724.18,13583.68
10724.19,13444.619
10724.2,13490.963
10724.21,13351.961
10724.22,13444.619
10724.23,13583.68
10724.24,13490.963
10724.25,13351.961
10724.26,13490.963
10724.27,13398.285
10724.28,13444.619
10724.29,13398.285
10724.3,13398.285
10724.31,13537.316
10724.32,13351.961
10724.33,13444.619
10724.34,13537.316
10724.35,13444.619
10724.36,13490.963
10724.37,13537.316
10724.38,13351.961
10724.39,13537.316
10724.4,13444.619
10724.41,13537.316
10724.42,13676.436
10724.43,13537.316
10724.44,13351.961
10724.45,13444.619
10724.46,13444.619
10724.47,13537.316
10724.48,13537.316
10724.49,13444.619
10724.5,13444.619
10724.51,13630.053
10724.52,13583.68
10724.53,13583.68
10724.54,13583.68
10724.55,13490.963
10724.56,13537.316
10724.57,13630.053
10724.58,13583.68
10724.59,13537.316
10724.6,13444.619
10724.61,13444.619
10724.62,13537.316
10724.63,13490.963
10724.64,13583.68
10724.65,13537.316
10724.66,13583.68
10724.67,13444.619
10724.68,13583.68
10724.69,13583.68
10724.7,13537.316
10724.71,13537.316
10724.72,13583.68
10724.73,13676.436
10724.74,13583.68
10724.75,13305.646
10724.76,13351.961
10724.77,13398.285
10724.78,13398.285
10724.79,13351.961
10724.8,13490.963
10724.81,13259.342
10724.82,13351.961
10724.83,13398.285
10724.84,13398.285
10724.85,13490.963
10724.86,13537.316
10724.87,13398.285
10724.88,13351.961
10724.89,13398.285
10724.9,13398.285
10724.91,13305.646
10724.92,13351.961
10724.93,13490.963
10724.94,13351.961
10724.95,13398.285
10724.96,13398.285
10724.97,13351.961
10724.98,13398.285
10724.99,13166.762
10725,13351.961
10725.01,13444.619
10725.02,13444.619
10725.03,13351.961
10725.04,13398.285
10725.05,13444.619
10725.06,13351.961
10725.07,13583.68
10725.08,13490.963
10725.09,13259.342
10725.1,13259.342
10725.11,13537.316
10725.12,13490.963
10725.13,13490.963
10725.14,13351.961
10725.15,13490.963
10725.16,13583.68
10725.17,13351.961
10725.18,13351.961
10725.19,13444.619
10725.2,13444.619
10725.21,13490.963
10725.22,13490.963
10725.23,13537.316
10725.24,13583.68
10725.25,13444.619
10725.26,13351.961
10725.27,13444.619
10725.28,13351.961
10725.29,13537.316
10725.3,13398.285
10725.31,13444.619
10725.32,13444.619
10725.33,13351.961
