Circuit: * Z:\home\shinu\Desktop\thermal_sampler\sims\Draft1.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.000453038 to 0.000453038
Heightened Def Con from 0.000453038 to 0.000453038
Heightened Def Con from 0.000453038 to 0.000453038
Heightened Def Con from 0.000453038 to 0.000453038
Heightened Def Con from 0.000453038 to 0.000453039
Heightened Def Con from 0.000453039 to 0.000453039
Heightened Def Con from 0.000453039 to 0.000453039
Heightened Def Con from 0.000453039 to 0.000453039
Heightened Def Con from 0.000453039 to 0.000453039
Heightened Def Con from 0.000453039 to 0.000453039
Heightened Def Con from 0.000453039 to 0.00045304
Heightened Def Con from 0.00045304 to 0.00045304
Heightened Def Con from 0.00045304 to 0.000453041
Heightened Def Con from 0.000453041 to 0.000453041
Heightened Def Con from 0.000453041 to 0.000453041
Heightened Def Con from 0.000453041 to 0.000453042
Heightened Def Con from 0.000453042 to 0.000453042
Heightened Def Con from 0.000453042 to 0.000453043
Heightened Def Con from 0.000453043 to 0.000453043
Heightened Def Con from 0.000453043 to 0.000453045
Heightened Def Con from 0.000453045 to 0.000453046
Heightened Def Con from 0.000453046 to 0.000453046
Heightened Def Con from 0.000453046 to 0.000453046
Heightened Def Con from 0.000453046 to 0.000453046
Heightened Def Con from 0.000453046 to 0.000453046
Heightened Def Con from 0.000453046 to 0.000453046
Heightened Def Con from 0.000453046 to 0.000453046
Heightened Def Con from 0.000453046 to 0.000453046
Heightened Def Con from 0.000453046 to 0.000453046
Heightened Def Con from 0.000453046 to 0.000453046
Heightened Def Con from 0.000453046 to 0.000453046
Heightened Def Con from 0.000453046 to 0.000453046
Heightened Def Con from 0.000453046 to 0.000453046
Heightened Def Con from 0.000453046 to 0.000453046
Heightened Def Con from 0.000453046 to 0.000453048
Heightened Def Con from 0.000453048 to 0.000453048
Heightened Def Con from 0.000453048 to 0.000453048
Heightened Def Con from 0.000453048 to 0.000453049
Heightened Def Con from 0.000453049 to 0.00045305
Heightened Def Con from 0.00045305 to 0.00045305
Heightened Def Con from 0.00045305 to 0.00045305
Heightened Def Con from 0.00045305 to 0.000453051
Heightened Def Con from 0.000453051 to 0.000453051
Heightened Def Con from 0.000453051 to 0.000453051
Heightened Def Con from 0.000453051 to 0.000453051
Heightened Def Con from 0.000453051 to 0.000453051
Heightened Def Con from 0.000453051 to 0.000453052
Heightened Def Con from 0.000453052 to 0.000453052
Heightened Def Con from 0.000453052 to 0.000453054
Heightened Def Con from 0.000453054 to 0.000453054
Heightened Def Con from 0.000453054 to 0.000453055
Heightened Def Con from 0.000453055 to 0.000453055
Heightened Def Con from 0.000453056 to 0.000453056
Heightened Def Con from 0.000453056 to 0.000453056
Heightened Def Con from 0.000453056 to 0.000453056
